ProviderID,ProviderName,StoreNumber,Location,Specialty,Review,TransgenderFriendly,PhoneNumber,latitude,longitude
74,CVS,9744,"1535 EAST KATELLA AVENUE, ORANGE, CA 92867",CVS Pharmacy,2,No,714-639-6069,33.81024096,-117.8372788
75,CVS,7088,"16961 BEACH BOULEVARD, HUNTINGTON BEACH, CA 92647",CVS Pharmacy,2.6,No,714-841-3591,33.71600401,-117.9894276
76,CVS,8872,"26891 ALISO CREEK RD, ALISO VIEJO, CA 92656",CVS Pharmacy,2.7,Yes,949-360-4081,33.57220765,-117.7256185
77,CVS,16077,"26932 LA PAZ RD, ALISO VIEJO, CA 92656",CVS Pharmacy,1.8,No,949-831-6314,33.57129617,-117.7052834
78,CVS,9753,"5735 E. LA PALMA AVENUE, ANAHEIM, CA 92807",CVS Pharmacy,2,Yes,714-779-2483,33.86060974,-117.7891172
79,CVS,9760,"460 SOUTH ANAHEIM HILLS ROAD, ANAHEIM, CA 92807",CVS Pharmacy,2,No,714-921-0275,33.84485494,-117.7753572
80,CVS,16201,"8148 E SANTA ANA CANYON RD, ANAHEIM, CA 92808",CVS Pharmacy,3.1,Yes,714-921-2376,33.86589456,-117.7466586
81,CVS,11111,"390 N. BREA BLVD, BREA, CA 92821",CVS Pharmacy,2.2,No,714-256-4486,33.92441592,-117.8956406
82,CVS,17530,"855 E BIRCH ST, BREA, CA 92821",CVS Pharmacy,3.7,Yes,714-989-5014,33.91907904,-117.8877329
83,CVS,5837,"7065 LA PALMA AVE., BUENA PARK, CA 90620",CVS Pharmacy,3,Yes,714-228-2085,33.84715576,-118.0102367
84,CVS,8861,"8850 VALLEY VIEW STREET, BUENA PARK, CA 90620",CVS Pharmacy,1,No,714-827-7321,33.8339177,-118.0277041
85,CVS,17170,"7530 ORANGETHORPE AVE, BUENA PARK, CA 90621",CVS Pharmacy,3.1,Yes,714-676-0014,33.85701243,-118.0012256
86,CVS,8830,"2701 HARBOR BLVD., BLDG B, COSTA MESA, CA 92626",CVS Pharmacy,2.5,Yes,714-438-1110,33.67199284,-117.9215692
87,CVS,9484,"1150 BAKER ST., COSTA MESA, CA 92626",CVS Health Hub,2.6,No,714-662-7517,33.68039334,-117.9055999
88,CVS,9508,"1835 NEWPORT BOULEVARD #C, COSTA MESA, CA 92627",CVS Pharmacy,2.7,No,949-722-1750,33.64238043,-117.9203799
89,CVS,9863,"175 E 17TH ST, COSTA MESA, CA 92627",CVS Pharmacy,2.4,Yes,949-631-9223,33.63572789,-117.9204174
90,CVS,16637,"3030 HARBOR BLVD STE A, COSTA MESA, CA 92626",CVS Pharmacy,4.4,Yes,714-979-6743,33.6824067,-117.9173585
91,CVS,9975,"5501 BALL ROAD, CYPRESS, CA 90630",CVS Pharmacy,2.7,Yes,714-484-3502,33.81739975,-118.0360855
92,CVS,9581,"32900 PACIFIC COAST HIGHWAY, DANA POINT, CA 92629",CVS Pharmacy,2.3,No,949-489-9030,33.48614115,-117.7233154
93,CVS,9912,"32575 GOLDEN LANTERN ST, DANA POINT, CA 92629",CVS Pharmacy,2.6,Yes,949-248-4803,33.48968775,-117.6996681
94,CVS,7079,"2200 N. HARBOR BLVD. (NEC), FULLERTON, CA 92835",CVS Pharmacy,2.8,Yes,714-446-9421,33.89619116,-117.9284188
95,CVS,9598,"455 NORTH STATE COLLEGE BOULEVARD, FULLERTON, CA 92831",CVS Pharmacy,2.3,Yes,714-871-6700,33.87376386,-117.8905735
96,CVS,16722,"1893 W MALVERN AVE, FULLERTON, CA 92833",CVS Pharmacy,4.3,No,714-278-9022,33.87922906,-117.9643877
97,CVS,819,"155 5TH ST., SUITE 175, HUNTINGTON BEACH, CA 92648",CVS Pharmacy,3,Yes,714-536-6145,33.65831197,-118.0032373
98,CVS,6782,"18872 BEACH BLVD., HUNTINGTON BEACH, CA 92648",CVS Pharmacy,1.9,No,714-378-1452,33.68835395,-117.9881429
100,CVS,8850,"19121 BEACH BOULEVARD, HUNTINGTON BEACH, CA 92648",CVS Pharmacy,1.9,Yes,714-848-1522,33.6851735,-117.9894686
101,CVS,9373,"16922 BOLSA CHICA STREET, HUNTINGTON BEACH, CA 92649",CVS Pharmacy,1.7,No,714-377-8956,33.71603519,-118.0409043
